State,American,Mexican,Chinese,Italian,Japanese,Indian,Korean,French,Vietnamese,Greek,Thai,Standard Deviation
Neveda,0.323,0.21,0.132,0.109,0.091,0.011,0.027,0.015,0.023,0.015,0.045,0.099
Wisconsin,0.415,0.156,0.13,0.114,0.045,0.033,0.011,0.009,0.014,0.027,0.045,0.119
Illinois,0.297,0.186,0.159,0.083,0.069,0.055,0.048,0.014,0.014,0.028,0.048,0.088
Pennsylvania,0.409,0.091,0.127,0.176,0.04,0.034,0.012,0.014,0.012,0.033,0.053,0.118
North Carolina,0.444,0.14,0.121,0.111,0.057,0.027,0.008,0.01,0.022,0.037,0.024,0.126
Arizona,0.348,0.255,0.114,0.125,0.048,0.017,0.009,0.007,0.018,0.032,0.028,0.113
Qubec,0.06,0.046,0.122,0.176,0.083,0.074,0.027,0.246,0.069,0.048,0.049,0.066
Ontario,0.197,0.016,0.238,0.09,0.115,0.066,0.033,0.016,0.074,0.057,0.098,0.071
